TRANSECT_CODE,YEAR,MONTH,DAY,WEEKNO,COUNT
1,1976,6,22,12,3
1,1976,6,24,13,5
1,1976,7,2,14,4
1,1976,7,13,15,2
1,1976,7,21,16,4
1,1976,7,26,17,7
1,1976,7,29,18,4
1,1976,8,6,19,1
1,1976,8,16,20,1
1,1977,7,18,16,1
1,1977,7,26,17,2
1,1977,7,29,18,5
1,1977,8,5,19,6
1,1977,8,16,20,3
1,1977,8,25,21,2
1,1977,8,26,22,3
1,1977,9,5,23,1
1,1978,7,17,16,1
1,1978,7,24,17,3
1,1978,8,1,18,3
1,1978,8,11,19,3
1,1978,8,15,20,5
1,1978,8,21,21,2
1,1978,8,30,22,2
1,1978,9,12,24,1
1,1979,7,3,14,1
1,1979,7,10,15,4
1,1979,7,20,16,5
1,1979,7,25,17,9
1,1979,8,2,18,5
1,1979,8,10,19,3
1,1979,8,16,20,4
1,1979,8,20,21,2
1,1979,9,4,23,1
1,1980,6,25,13,1
1,1980,7,3,14,2
1,1980,7,11,15,12
1,1980,7,21,16,4
1,1980,7,22,17,4
1,1980,8,3,18,5
1,1980,8,10,19,5
1,1980,8,16,20,5
1,1980,8,21,21,8
1,1980,8,28,22,4
1,1981,6,22,12,1
1,1981,6,29,13,1
1,1981,7,6,14,1
1,1981,7,13,15,4
1,1981,7,20,16,11
1,1981,7,22,17,4
1,1981,8,3,18,6
1,1981,8,10,19,4
1,1981,8,12,20,4
1,1981,8,23,21,1
1,1982,7,5,14,4
1,1982,7,16,16,5
1,1982,7,26,17,4
1,1982,7,29,18,2
1,1982,8,6,19,3
1,1982,8,14,20,2
1,1982,8,19,21,1
1,1983,7,4,14,2
1,1983,7,8,15,1
1,1983,7,18,16,7
1,1983,7,25,17,3
1,1983,7,29,18,4
1,1983,8,6,19,4
1,1983,8,12,20,2
1,1984,6,27,13,1
1,1984,7,5,14,1
1,1984,7,11,15,4
1,1984,7,16,16,3
1,1984,7,23,17,2
1,1984,8,1,18,5
1,1984,8,9,19,3
1,1984,8,17,20,2
1,1984,8,20,21,2
1,1984,8,29,22,1
1,1985,7,8,15,1
1,1985,7,21,16,4
1,1985,7,23,17,4
1,1985,8,1,18,7
1,1985,8,8,19,4
1,1985,8,17,20,4
1,1985,8,21,21,4
1,1985,8,28,22,4
1,1986,7,1,14,3
1,1986,7,9,15,1
1,1986,7,16,16,3
1,1986,7,24,17,4
1,1986,8,1,18,8
1,1986,8,5,19,4
1,1986,8,13,20,4
1,1986,8,22,21,2
1,1987,7,1,14,1
1,1987,7,8,15,2
1,1987,7,31,18,5
1,1987,8,5,19,6
1,1987,8,18,20,4
1,1987,8,19,21,5
1,1987,8,28,22,1
1,1987,9,18,25,1
1,1988,7,5,14,3
1,1988,7,21,16,4
1,1988,7,27,17,5
1,1988,8,3,18,6
1,1988,8,8,19,6
1,1988,8,16,20,4
1,1988,8,23,21,4
1,1988,8,30,22,1
1,1989,6,19,12,2
1,1989,6,30,13,2
1,1989,7,6,14,7
1,1989,7,10,15,5
1,1989,7,21,16,5
1,1989,7,25,17,9
1,1989,8,2,18,7
1,1989,8,7,19,5
1,1989,8,21,21,1
1,1990,6,16,11,2
1,1990,6,19,12,1
1,1990,6,25,13,1
1,1990,7,2,14,4
1,1990,7,13,15,6
1,1990,7,17,16,9
1,1990,7,23,17,6
1,1990,8,1,18,5
1,1990,8,9,19,2
1,1990,8,18,20,2
1,1990,8,23,21,1
1,1990,8,27,22,1
1,1990,9,2,23,1
1,1991,7,10,15,2
1,1991,7,19,16,3
1,1991,7,22,17,6
1,1991,7,29,18,4
1,1991,8,7,19,6
1,1991,8,12,20,5
1,1991,8,19,21,5
1,1991,8,27,22,2
1,1991,9,10,24,1
1,1992,6,22,12,4
1,1992,6,24,13,5
1,1992,7,6,14,5
1,1992,7,14,15,9
1,1992,7,16,16,6
1,1992,7,22,17,8
1,1992,7,29,18,13
1,1992,8,6,19,6
1,1992,8,18,20,4
1,1992,8,19,21,4
1,1993,6,11,11,1
1,1993,6,18,12,2
1,1993,6,24,13,13
1,1993,7,6,14,8
1,1993,7,8,15,13
1,1993,7,19,16,22
1,1993,7,27,17,10
1,1993,7,30,18,10
1,1993,8,10,19,6
1,1993,8,13,20,6
1,1993,8,17,20,6
1,1993,8,19,21,3
1,1993,8,27,22,1
1,1994,6,19,12,2
1,1994,6,24,13,2
1,1994,7,3,14,13
1,1994,7,20,16,6
1,1994,7,22,17,8
1,1994,7,29,18,5
1,1994,8,5,19,7
1,1994,8,15,20,2
1,1994,8,22,21,1
1,1994,8,29,22,1
1,1995,6,28,13,2
1,1995,7,5,14,3
1,1995,7,10,15,8
1,1995,7,20,16,23
1,1995,7,24,17,6
1,1995,7,29,18,4
1,1995,8,7,19,4
1,1995,8,14,20,3
1,1995,8,22,21,1
1,1996,7,2,14,3
1,1996,7,10,15,6
1,1996,7,17,16,11
1,1996,7,22,17,12
1,1996,7,30,18,13
1,1996,8,6,19,21
1,1996,8,15,20,5
1,1996,8,19,21,8
1,1996,8,28,22,5
1,1996,9,14,24,1
1,1997,6,10,11,2
1,1997,6,17,12,3
1,1997,7,7,14,2
1,1997,7,11,15,5
1,1997,7,17,16,10
1,1997,7,23,17,19
1,1997,7,29,18,4
1,1997,8,5,19,7
1,1997,8,13,20,2
1,1997,8,19,21,2
1,1997,9,9,24,1
1,1998,6,19,12,1
1,1998,6,25,13,1
1,1998,7,1,14,2
1,1998,7,10,15,6
1,1998,7,15,16,12
1,1998,7,23,17,15
1,1998,7,31,18,15
1,1998,8,6,19,16
1,1998,8,13,20,14
1,1998,8,19,21,4
1,1998,8,27,22,2
1,1999,6,14,11,1
1,1999,6,18,12,2
1,1999,6,25,13,4
1,1999,7,5,14,11
1,1999,7,9,15,8
1,1999,7,20,16,20
1,1999,7,23,17,16
1,1999,7,30,18,12
1,1999,8,6,19,13
1,1999,8,13,20,5
1,1999,8,23,21,1
1,1999,9,2,23,2
1,1999,9,9,24,1
1,2000,6,12,11,1
1,2000,6,19,12,8
1,2000,7,3,14,10
1,2000,7,12,15,6
