SITENO,GRIDREF,EAST,NORTH,LATITUDE,LONGITUDE,LENGTH,COUNTRY,COUNTY,HABITAT1,HABITAT2
1,TL210810,521000,281000,52.4132216329504,-0.220779656321695,2038,England,Cambridgeshire,Intensive arable crops,
2,TL200790,520000,279000,52.3954682193518,-0.236193534151069,1532,England,Cambridgeshire,Mature mixed broadleaved and coniferous woodland,17
3,TF870450,587000,345000,52.9693808722735,0.785053808199046,3454,England,Norfolk,Coastal dune grassland,27
4,TL200800,520000,280000,52.4044550841777,-0.235835038322015,2900,England,Cambridgeshire,Mature broadleaved woodland,17
5,TL200800,520000,280000,52.4044550841777,-0.235835038322015,,England,Cambridgeshire,Dry semi/unimproved (flower rich) neutral grassland,
6,SX770780,277000,78000,50.5881709511934,-3.73777738777022,3133,England,Devon,Wet and dry heathland/ dry heather moorland,23
7,ST470890,347000,189000,51.5968764977195,-2.76525058137304,812,Wales,Gwent,Missing,
8,SU64502080,464500,120800,50.9824456612723,-1.08104894243427,1792,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
9,SU820100,482000,110000,50.8831102534327,-0.834201107070654,6289,England,West Sussex,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
10,SS5087,250000,187000,51.5614277795187,-4.16422101352589,4020,Wales,West Glamorgan,Coastal dune grassland,5
11,SH650270,265000,327000,52.8232717690963,-4.00374332332808,2269,Wales,Gwynedd,Missing,
12,TQ820850,582000,185000,51.5340441544662,0.624411267584846,1776,England,Essex,Coastal dune grassland,-2
13,SO180160,318000,216000,51.8361372783452,-3.19024921902125,3521,Wales,Powys,Mature broadleaved woodland,
14,SU890920,489000,192000,51.6193082609534,-0.714307187398932,1219,England,Buckinghamshire,Dry scrub/shrub thickets,Dry semi/unimproved (flower rich) chalk/limestone grassland
15,SP250200,425000,220000,51.8775665671827,-1.63679129508607,2909,England,Oxfordshire,Mature broadleaved woodland,19
16,SZ020810,402000,81000,50.6281123090611,-1.97172036025714,3397,England,Dorset,Dry semi/unimproved (flower rich) chalk/limestone grassland,28
17,SU810960,481000,196000,51.6564784139655,-0.828921821197452,1158,England,Buckinghamshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
18,TL310750,531000,275000,52.3570017537521,-0.0761693286541572,2303,England,Cambridgeshire,Intensive arable crops,
19,SZ020790,402000,79000,50.6100045503476,-1.9730669,3665,England,Dorset,Wet and dry heathland/ dry heather moorland,-2
20,TR000340,600000,134000,51.0698968753209,0.85504969256107,1711,England,Kent,Mature broadleaved woodland,-2
21,TF11800160,511800,301600,52.6003167720049,-0.349072055392444,1624,England,Cambridgeshire,Mature broadleaved woodland,26
22,SH600400,260000,340000,52.938794339166,-4.08349688883827,2099,Wales,Gwynedd,Missing,
23,ST52804880,352800,148800,51.2359139758485,-2.67615853321397,2294,England,Somerset,Mature broadleaved woodland,15
24,SN600930,260000,293000,52.5165115962804,-4.06345678247803,2414,Wales,Dyfed,Coastal dune grassland,6
25,TL650690,565000,269000,52.2939235076432,0.419767384029721,3255,England,Cambridgeshire,Fen/swamp/marsh vegetation of inland freshwater edges,10
26,SJ740840,374000,384000,53.3519794844164,-2.39064400729772,5360,England,Cheshire,Agriculturally improved/re-seeded/ heavily fertilised grassland,
27,TL210890,521000,289000,52.4851153036554,-0.217879430145091,4438,England,Cambridgeshire,Mature broadleaved woodland,-2
28,TM470740,647000,274000,52.3080641366953,1.62381079336304,3577,England,Suffolk,Dry semi/unimproved acid grassland,10
29,SU730960,473000,196000,51.6575746241513,-0.944561562688165,3400,England,Oxfordshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
30,SU720960,472000,196000,51.6577036459364,-0.959017034617078,2367,England,Oxfordshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
31,SP6009,460000,209000,51.7759979499967,-1.13025103920516,1760,England,Oxfordshire,Mature broadleaved woodland,-2
32,TR070450,607000,145000,51.1662072151473,0.961150187715544,1950,England,Kent,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
33,SD330820,333000,482000,54.2291596733137,-3.02789733536231,,England,Cumbria,Mature broadleaved woodland,
34,TL250500,525000,250000,52.1337337916419,-0.173485510976009,3960,England,Bedfordshire,Mature mixed broadleaved and coniferous woodland,32
35,TL120690,512000,269000,52.3072888348426,-0.35706271975224,1506,England,Cambridgeshire,Missing,
36,TG340160,634000,316000,52.6906937287784,1.46299432995884,1671,England,Norfolk,Fen/swamp/marsh vegetation of inland freshwater edges,14
37,NY880280,388000,528000,54.6468504264186,-2.18598057262877,1411,England,County Durham,Dry semi/unimproved acid grassland,22
38,ST550730,355000,173000,51.4537023694907,-2.64770522695954,,England,Avon,Mature broadleaved woodland,22
39,TF460930,546000,393000,53.4133167330005,0.196921759005294,2929,England,Lincolnshire,Coastal dune grassland,6
40,SN680620,268000,262000,52.2399419147567,-3.93341136895135,3649,Wales,Dyfed,Missing,
41,NO160990,316000,799000,57.0745258890163,-3.3857249189026,2253,Scotland,Tayside,Wet and dry heathland/ dry heather moorland,23
43,SD48207500,348200,475000,54.1680099215588,-2.79352485389811,5922,England,Lancashire,Inland swamp/fen stands without open water (e.g. reed and sedgebeds),24
44,SY670800,367000,80000,50.6181879352216,-2.46651684936209,1649,England,Dorset,Stands of tall herbs (e.g. nettle and willow herb beds),24
45,TF560580,556000,358000,53.0960732000447,0.330106737701994,4570,England,Lincolnshire,Coastal dune grassland,-2
46,SP220670,422000,267000,52.3002917881829,-1.67734173712998,,England,Warwickshire,Missing,
47,SM72900930,172900,209300,51.735863227591,-5.28947353099228,3012,Wales,Dyfed,Bracken dominated glades or hillsides,
