"SITENO"	"GRIDREF"	"EAST"	"NORTH"
"185"	"NN470870"	"247000"	"787000"
"186"	"NM84107360"	"184100"	"773600"
"187"	"SS480190"	"248000"	"119000"
"188"	"SZ240990"	"424000"	"99000"
"189"	"NT590070"	"359000"	"607000"
"500"	"SU03502100"	"403500"	"121000"
"501"	"ST040180"	"304000"	"118000"
"988"	"NH88600410"	"288600"	"804100"
"989"	"NO650800"	"365000"	"780000"
"990"	"SH620540"	"262000"	"354000"
"991"	"SU240350"	"424000"	"135000"
"992"	"NT840200"	"384000"	"620000"
"993"	"NY75203320"	"375200"	"533200"
"994"	"SP470100"	"447000"	"210000"
"995"	"SX660985"	"266000"	"98500"
"996"	"J2457"	"134989"	"513366"
"997"	"NO660780"	"366000"	"778000"
"998"	"SP16305540"	"416300"	"255400"
"999"	"SU800400"	"480000"	"140000"
"1001"	"SU38203480"	"438200"	"134800"
"1002"	"SU74202680"	"474200"	"126800"
"1204"	"TL09702440"	"509700"	"224400"
"1205"	"TL03304340"	"503300"	"243400"
"1207"	"TL07302150"	"507300"	"221500"
"1208"	"TL00602050"	"500600"	"220500"
"1213"	"SP98502250"	"498500"	"222500"
"1214"	"TL090263"	"509000"	"226300"
"1215"	"TL04602880"	"504600"	"228800"
"163"	"NT250700"	"325000"	"670000"
"164"	"NX430620"	"243000"	"562000"
"165"	"NK010260"	"401000"	"826000"
"166"	"SH760830"	"276000"	"383000"
"167"	"NN470870"	"247000"	"787000"
"168"	"SK780020"	"478000"	"302000"
"169"	"SK780020"	"478000"	"302000"
"170"	"TL670070"	"567000"	"207000"
"171"	"TL680070"	"568000"	"207000"
"172"	"TL320630"	"532000"	"263000"
"173"	"TL320630"	"532000"	"263000"
"174"	"NT910670"	"391000"	"667000"
"175"	"NX920690"	"292000"	"569000"
"176"	"TM450580"	"645000"	"258000"
"177"	"NS89507870"	"289500"	"678700"
"178"	"TR190380"	"619000"	"138000"
"179"	"TL320630"	"532000"	"263000"
"180"	"NS43903960"	"243900"	"639600"
"157"	"SJ480360"	"348000"	"336000"
"158"	"ST880170"	"388000"	"117000"
"159"	"SK660440"	"466000"	"344000"
"160"	"NX920700"	"292000"	"570000"
"161"	"NZ33203270"	"433200"	"532700"
"162"	"SW570400"	"157000"	"40000"
"18"	"TL310750"	"531000"	"275000"
"19"	"SZ020790"	"402000"	"79000"
"20"	"TR000340"	"600000"	"134000"
"21"	"TF11800160"	"511800"	"301600"
"22"	"SH600400"	"260000"	"340000"
"123"	"NH380360"	"238000"	"836000"
"124"	"SD33308220"	"333300"	"482200"
"125"	"ST880170"	"388000"	"117000"
"126"	"TR270450"	"627000"	"145000"
"127"	"NM830640"	"183000"	"764000"
"128"	"NY7206"	"372000"	"506000"
"129"	"SZ41708460"	"441700"	"84600"
"130"	"SU340090"	"434000"	"109000"
"131"	"SU190140"	"419000"	"114000"
"132"	"TR360430"	"636000"	"143000"
"133"	"SY79108750"	"379100"	"87500"
"134"	"SX800780"	"280000"	"78000"
"135"	"TR180640"	"618000"	"164000"
"136"	"SU020860"	"402000"	"186000"
"137"	"SE710150"	"471000"	"415000"
"138"	"TG420220"	"642000"	"322000"
"139"	"TR110600"	"611000"	"160000"
"31"	"SP6009"	"460000"	"209000"
"32"	"TR070450"	"607000"	"145000"
"33"	"SD330820"	"333000"	"482000"
"34"	"TL250500"	"525000"	"250000"
"23"	"ST52804880"	"352800"	"148800"
"24"	"SN600930"	"260000"	"293000"
"1"	"TL210810"	"521000"	"281000"
"2"	"TL200790"	"520000"	"279000"
"3"	"TF870450"	"587000"	"345000"
"4"	"TL200800"	"520000"	"280000"
"5"	"TL200800"	"520000"	"280000"
"6"	"SX770780"	"277000"	"78000"
"7"	"ST470890"	"347000"	"189000"
"181"	"SX06506650"	"206500"	"66500"
"182"	"NN000450"	"200000"	"745000"
"183"	"SP030920"	"403000"	"292000"
"184"	"TL760720"	"576000"	"272000"
"140"	"NJ590530"	"359000"	"853000"
"141"	"NC070170"	"207000"	"917000"
"142"	"TL120130"	"512000"	"213000"
"143"	"NH81409640"	"281400"	"896400"
"144"	"NT50502850"	"350500"	"628500"
"145"	"SH420640"	"242000"	"364000"
"146"	"NO740670"	"374000"	"767000"
"147"	"SJ490390"	"349000"	"339000"
"148"	"SN590540"	"259000"	"254000"
"149"	"SS800810"	"280000"	"181000"
"150"	"J6043"	"169672"	"496353"
"151"	"SN410490"	"241000"	"249000"
"152"	"SN130390"	"213000"	"239000"
"153"	"NS01903820"	"201900"	"638200"
"154"	"TG420220"	"642000"	"322000"
"155"	"SP620100"	"462000"	"210000"
"156"	"TR100510"	"610000"	"151000"
"42"	"NN6139"	"261000"	"739000"
"43"	"SD48207500"	"348200"	"475000"
"44"	"SY670800"	"367000"	"80000"
"45"	"TF560580"	"556000"	"358000"
"46"	"SP220670"	"422000"	"267000"
"47"	"SM72900930"	"172900"	"209300"
