"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
1,1976,83,93,117,101.696426857272,34
1,1977,117,120,147,129.223907991489,30
1,1978,108,123,137,129.702673323246,29
1,1979,101,116,132,119.67976743884,31
1,1980,94,113,143,123.289216963689,49
1,1981,104,113,134,121.150953000065,30
1,1982,96,117,128,115.089877026504,32
1,1983,99,116,128,116.266281030971,29
1,1984,96,114,131,118.491891892515,35
1,1985,112,123,143,125.849710986998,31
1,1986,100,115,127,119.043933331552,27
1,1987,99,122,141,125.398390881331,42
1,1988,102,118,138,122.867792075295,36
1,1989,91,112,124,110.436036959325,33
1,1990,93,108,123,110.166882548283,30
1,1991,101,120,141,125.187517080561,40
1,1992,85,107,128,111.366413447466,43
1,1993,85,99,132,109.381009614994,47
1,1994,85,102,120,106.83155058001,35
1,1995,96,111,120,112.275124744973,24
1,1996,101,113,128,119.73255813535,27
1,1997,98,108,127,113.197395923643,29
1,1998,101,114,128,118.828237657396,27
1,1999,86,111,121,110.069559831725,35
1,2000,80,103,129,107.795745196692,49
1,2001,93,114,132,116.188520713601,39
1,2002,78,104,120,105.156909600345,42
1,2003,80,101,124,106.755376342184,44
1,2004,88,113,125,112.437648807021,37
1,2005,95,125,137,121.90144849014,42
1,2006,95,109,126,112.384153141528,31
1,2007,82,109,130,111.694507713946,48
1,2008,105,126,136,124.761749776332,31
1,2009,85,109,138,111.023323607163,53
1,2011,84,110,124,109.841289092876,40
1,2013,102,118,137,122.928324625437,35
1,2014,82,110,124,109.264047579724,42
1,2015,90,102,123,110.18198569138,33
2,1976,86,112,128,111.392627786497,42
2,1977,109,120,137,125.360407566802,28
2,1978,98,108,125,111.920312650913,27
2,1979,94,115,128,115.33934762546,34
2,1980,86,113,135,116.246639517784,49
2,1981,94,116,134,115.632809558836,40
2,1982,88,109,124,108.633495414378,36
2,1983,96,102,123,108.587155964945,27
2,1984,86,107,128,110.417850698597,42
2,1985,101,114,143,122.126253801342,42
2,1986,92,115,135,115.588824662124,43
2,1987,102,133,158,132.692357239339,56
2,1988,95,111,125,113.131181157088,30
2,1989,82,115,124,112.598020797811,42
2,1990,81,103,114,101.321817799004,33
2,1991,101,116,135,118.486705336791,34
2,1992,84,105,128,106.789958241527,44
2,1993,86,110,128,111.843131392725,42
2,1994,92,102,113,103.191358912833,21
2,1996,93,109,121,112.144674242879,28
2,1997,88,112,130,112.638623785972,42
2,1998,85,99,129,109.128503732051,44
2,1999,86,100,121,105.552234097936,35
2,2000,88,108,123,110.380510962834,35
