"year","flight.period","length.date","DJF","MAM","JJA","SON"
1976,"average.tenth",79.9722222222222,5.2,8.3,17.8,10.1
1976,"average.mean",102.771546378805,5.2,8.3,17.8,10.1
1976,"average.range",40.6388888888889,5.2,8.3,17.8,10.1
1976,"average.nintieth",120.611111111111,5.2,8.3,17.8,10.1
1977,"average.mean",122.055178266177,3.3,8.2,14.4,10.6
1977,"average.tenth",99.4,3.3,8.2,14.4,10.6
1977,"average.range",39.9833333333333,3.3,8.2,14.4,10.6
1977,"average.nintieth",139.383333333333,3.3,8.2,14.4,10.6
1978,"average.nintieth",138.107692307692,4.1,8.3,14.5,11.5
1978,"average.range",40.4153846153846,4.1,8.3,14.5,11.5
1978,"average.tenth",97.6923076923077,4.1,8.3,14.5,11.5
1978,"average.mean",120.52896924131,4.1,8.3,14.5,11.5
1979,"average.mean",121.28142637647,1.6,7.5,15,10.5
1979,"average.nintieth",138.607594936709,1.6,7.5,15,10.5
1979,"average.range",41.0253164556962,1.6,7.5,15,10.5
1979,"average.tenth",97.5822784810127,1.6,7.5,15,10.5
1980,"average.tenth",94,4.6,8.2,14.8,10.1
1980,"average.mean",121.522587644195,4.6,8.2,14.8,10.1
1980,"average.nintieth",142.325301204819,4.6,8.2,14.8,10.1
1980,"average.range",48.3253012048193,4.6,8.2,14.8,10.1
1981,"average.range",41.6395348837209,4.5,9,15,10.3
1981,"average.tenth",97.9302325581395,4.5,9,15,10.3
1981,"average.mean",121.62482346192,4.5,9,15,10.3
1981,"average.nintieth",139.56976744186,4.5,9,15,10.3
1982,"average.nintieth",130.690476190476,2.6,8.8,15.9,10.8
1982,"average.range",40.1547619047619,2.6,8.8,15.9,10.8
1982,"average.tenth",90.5357142857143,2.6,8.8,15.9,10.8
1982,"average.mean",113.995404608465,2.6,8.8,15.9,10.8
1983,"average.mean",115.927953585635,4.3,7.8,17.1,10.6
1983,"average.nintieth",129.733333333333,4.3,7.8,17.1,10.6
1983,"average.range",32.9777777777778,4.3,7.8,17.1,10.6
1983,"average.tenth",96.7555555555556,4.3,7.8,17.1,10.6
1984,"average.tenth",92.5666666666667,4.2,7.6,16.3,10.9
1984,"average.mean",115.023245664388,4.2,7.6,16.3,10.9
1984,"average.nintieth",130.9,4.2,7.6,16.3,10.9
1984,"average.range",38.3333333333333,4.2,7.6,16.3,10.9
1985,"average.range",41.6847826086956,2.7,8,14.5,9.9
1985,"average.tenth",100.097826086957,2.7,8,14.5,9.9
1985,"average.mean",123.573491020788,2.7,8,14.5,9.9
1985,"average.nintieth",141.782608695652,2.7,8,14.5,9.9
1986,"average.nintieth",138.96875,2.9,7.3,14.8,10
1986,"average.range",41.8020833333333,2.9,7.3,14.8,10
1986,"average.tenth",97.1666666666667,2.9,7.3,14.8,10
1986,"average.mean",121.363373184524,2.9,7.3,14.8,10
1987,"average.tenth",95.8712871287129,3.5,8.2,14.8,9.9
1987,"average.mean",120.015361925331,3.5,8.2,14.8,9.9
1987,"average.nintieth",138.465346534653,3.5,8.2,14.8,9.9
1987,"average.range",42.5940594059406,3.5,8.2,14.8,9.9
1988,"average.range",43.2685185185185,5.3,8.8,14.8,9.6
1988,"average.tenth",90.8888888888889,5.3,8.8,14.8,9.6
1988,"average.mean",115.811629029911,5.3,8.8,14.8,9.6
1988,"average.nintieth",134.157407407407,5.3,8.8,14.8,9.6
1989,"average.mean",106.678456376122,6.5,9,16.5,10.9
1989,"average.nintieth",124.701612903226,6.5,9,16.5,10.9
1989,"average.range",42.0241935483871,6.5,9,16.5,10.9
1989,"average.tenth",82.6774193548387,6.5,9,16.5,10.9
1990,"average.tenth",87.6287878787879,6.2,9.6,16.2,10.7
1990,"average.mean",110.448331743083,6.2,9.6,16.2,10.7
1990,"average.nintieth",127.886363636364,6.2,9.6,16.2,10.7
1990,"average.range",40.2575757575758,6.2,9.6,16.2,10.7
1991,"average.nintieth",139.601449275362,3,8.9,15.5,10.6
