"year","site","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range","buffer","Surv","POINT_X","POINT_Y","EASTNESS_MEAN","EASTNESS_STD","SLOPE_MEAN","SLOPE_STD","NORTHNESS_MEAN","NORTHNESS_STD","DEM_MEAN","DEM_STD","shannon.soil","dom.soil.type","joint.dom.soil.type","A","BgRo","Br","BW","C","CW","F","G","H","M","S","R","UG","NP_A","NP_BgRo","NP_Br","NP_BW","NP_C","NP_CW","NP_F","NP_G","NP_H","NP_M","NP_S","NP_R","NP_UG","ED_A","ED_BgRo","ED_Br","ED_BW","ED_C","ED_CW","ED_F","ED_G","ED_H","ED_M","ED_S","ED_R","ED_UG","SHP_A","SHP_BgRo","SHP_Br","SHP_BW","SHP_C","SHP_CW","SHP_F","SHP_G","SHP_H","SHP_M","SHP_S","SHP_R","SHP_UG","end.lcm","LC","LM","NG","UDG","NP_LC","SHP_LC","ED_LC","NP_LM","SHP_LM","ED_LM","NP_UDG","SHP_UDG","ED_UDG","NP_NG","SHP_NG","ED_NG","LCper","DJF","MAM","JJA","SON","AV"
1976,7,81,93,116,101.259707183193,35,500,"UKBMS",346938,189701,0.46,0.43,3.14,2.81,0.26,0.74,78.48621163,74.7313439,0,6,NA,15625,0,0,31250,0,0,0,598750,0,0,0,0,144375,1,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,280.136,0,0,0,0,0,0,0,0,160.2184,1.8,0,0,1.2626,0,0,0,2.2258,0,0,0,0,1.3654,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,1,83,93,117,101.696426857272,34,500,"UKBMS",521446,281749,-0.17,0.71,1.9,1.39,-0.01,0.69,21.49516643,17.27439206,0,23,NA,586875,0,0,36250,0,0,0,151250,0,0,0,0,15625,1,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,160.7435,0,0,0,0,0,2.4355,0,0,1.5,0,0,0,1.1786,0,0,0,0,1.2,NA,0,5625,790000,0,1,1.1111,0,2,1.5833,55.9017,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,24,80,99,136,105.870889327862,56,500,"UKBMS",260901,293790,-0.29,0.72,1.2,5.98,0.16,0.61,122.1574017,113.5823668,0,5,NA,0,0,0,0,122500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6429,0,0,0,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,11,102,114,123,114.221406743341,21,500,"UKBMS",266112,328073,-0.23,0.61,23.67,9.61,-0.07,0.75,252.9705347,142.7332967,0,29,NA,0,0,0,0,0,0,0,288750,501250,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,2.4651,1.5088,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,28,61,96,118,95.9694864306761,57,500,"UKBMS",647856,273907,0.27,0.51,0.59,0.31,-0.46,0.68,16.08828171,8.811210709,0,5,NA,445000,0,0,19375,0,0,51250,274375,0,0,0,0,0,3,0,0,2,0,0,2,3,0,0,0,0,0,117.79,0,0,325,0,0,50,133.3333,0,0,0,0,0,1.6216,0,0,1.4,0,0,1.3611,1.8159,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,20,70,85,102,88.298633762271,32,500,"UKBMS",600875,134675,-0.25,0.68,3.34,1.52,-0.44,0.54,28.87975031,22.19854319,0,25,NA,205625,0,0,173750,0,24375,0,210000,0,0,0,66875,109375,3,0,0,4,0,2,0,7,0,0,0,2,1,180.5159,0,0,211.5092,0,200,0,87.1853,0,0,0,75,0,1.7,0,0,1.3368,0,1.2722,0,1.449,0,0,0,1.5333,2.3704,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,31,74,98,119,101.547102311112,45,500,"UKBMS",460785,209701,-0.31,0.76,0.71,0.42,0.07,0.57,77.74927422,21.69577207,0,25,NA,188125,0,0,92500,0,0,0,375625,0,0,0,0,133750,5,0,0,3,0,0,0,5,0,0,0,0,5,83.2843,0,0,83.3333,0,0,0,76.5028,0,0,0,0,129.1641,1.3067,0,0,1.5727,0,0,0,1.6731,0,0,0,0,1.5128,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,29,84,94,122,101.085779329444,38,500,"UKBMS",472827,197086,-0.26,0.64,10.77,5.19,0.32,0.65,129.1562894,49.65739952,0,1,NA,140000,0,0,18125,0,18125,0,415625,0,0,0,0,198125,4,0,0,3,0,2,0,4,0,0,0,0,4,147.6641,0,0,499.8948,0,766.8931,0,75,0,0,0,0,99.2209,1.423,0,0,1.3,0,1.1818,0,1.5016,0,0,0,0,1.5951,NA,73750,0,790000,0,4,1.2143,91.9093,0,0,0,0,0,0,0,0,0,9.39014164242183,5.2,8.3,17.8,10.1,10.35
1976,26,88,102,116,104.68771886089,28,500,"UKBMS",374387,384180,0.03,0.74,1.22,1.96,0.03,0.67,43.95831317,18.34852072,0,24,NA,3125,0,0,145000,0,0,0,425625,0,0,0,216250,0,2,0,0,3,0,0,0,4,0,0,0,1,0,862.047,0,0,127.0205,0,0,0,65.2124,0,0,0,0,0,1,0,0,1.5569,0,0,0,1.4343,0,0,0,1.2368,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,17,81,99,115,101.695129066446,34,500,"UKBMS",481798,196166,0,0.86,7.43,5.54,-0.23,0.46,147.9476428,44.93300299,0,1,NA,234375,0,0,21875,0,0,0,499375,0,0,0,0,34375,4,0,0,2,0,0,0,1,0,0,0,0,3,153.7973,0,0,750,0,0,0,0,0,0,0,0,425.8748,1.4168,0,0,1.0833,0,0,0,1.9474,0,0,0,0,1.1528,NA,127500,0,790000,0,1,2.1034,0,0,0,0,0,0,0,0,0,0,16.2338041953733,5.2,8.3,17.8,10.1,10.35
