year,month,monthly.temperature,yearly.average,total.average
1976,1,5.9,10.1,9.94796748
1976,2,4.5,10.1,9.94796748
1976,3,4.8,10.1,9.94796748
1976,4,8.1,10.1,9.94796748
1976,5,12.1,10.1,9.94796748
1976,6,17,10.1,9.94796748
1976,7,18.7,10.1,9.94796748
1976,8,17.6,10.1,9.94796748
1976,9,13.4,10.1,9.94796748
1976,10,10.6,10.1,9.94796748
1976,11,6.3,10.1,9.94796748
1976,12,2,10.1,9.94796748
1977,1,2.8,9.51,9.94796748
1977,2,5.2,9.51,9.94796748
1977,3,6.9,9.51,9.94796748
1977,4,7.2,9.51,9.94796748
1977,5,10.6,9.51,9.94796748
1977,6,12.2,9.51,9.94796748
1977,7,15.9,9.51,9.94796748
1977,8,15.2,9.51,9.94796748
1977,9,13.3,9.51,9.94796748
1977,10,11.8,9.51,9.94796748
1977,11,6.6,9.51,9.94796748
1977,12,6.1,9.51,9.94796748
1978,1,3.4,9.47,9.94796748
1978,2,2.8,9.47,9.94796748
1978,3,6.7,9.47,9.94796748
1978,4,6.5,9.47,9.94796748
1978,5,11.7,9.47,9.94796748
1978,6,13.7,9.47,9.94796748
1978,7,14.8,9.47,9.94796748
1978,8,15,9.47,9.94796748
1978,9,14.2,9.47,9.94796748
1978,10,11.9,9.47,9.94796748
1978,11,8.5,9.47,9.94796748
1978,12,3.9,9.47,9.94796748
1979,1,-0.4,8.85,9.94796748
1979,2,1.2,8.85,9.94796748
1979,3,4.7,8.85,9.94796748
1979,4,7.8,8.85,9.94796748
1979,5,10,8.85,9.94796748
1979,6,13.9,8.85,9.94796748
1979,7,16.2,8.85,9.94796748
1979,8,14.9,8.85,9.94796748
1979,9,13.5,8.85,9.94796748
1979,10,11.3,8.85,9.94796748
1979,11,6.8,8.85,9.94796748
1979,12,5.8,8.85,9.94796748
1980,1,2.3,9.42,9.94796748
1980,2,5.7,9.42,9.94796748
1980,3,4.7,9.42,9.94796748
1980,4,8.8,9.42,9.94796748
1980,5,11.2,9.42,9.94796748
1980,6,13.8,9.42,9.94796748
1980,7,14.7,9.42,9.94796748
1980,8,15.9,9.42,9.94796748
1980,9,14.7,9.42,9.94796748
1980,10,9,9.42,9.94796748
1980,11,6.6,9.42,9.94796748
1980,12,5.6,9.42,9.94796748
1981,1,4.9,9.28,9.94796748
1981,2,3,9.28,9.94796748
1981,3,7.9,9.28,9.94796748
1981,4,7.8,9.28,9.94796748
1981,5,11.2,9.28,9.94796748
1981,6,13.2,9.28,9.94796748
1981,7,15.5,9.28,9.94796748
1981,8,16.2,9.28,9.94796748
1981,9,14.5,9.28,9.94796748
1981,10,8.6,9.28,9.94796748
1981,11,7.8,9.28,9.94796748
1981,12,0.3,9.28,9.94796748
1982,1,2.6,9.86,9.94796748
1982,2,4.8,9.86,9.94796748
1982,3,6.1,9.86,9.94796748
1982,4,8.6,9.86,9.94796748
1982,5,11.6,9.86,9.94796748
1982,6,15.5,9.86,9.94796748
1982,7,16.5,9.86,9.94796748
1982,8,15.7,9.86,9.94796748
1982,9,14.2,9.86,9.94796748
1982,10,10.1,9.86,9.94796748
1982,11,8,9.86,9.94796748
1982,12,4.4,9.86,9.94796748
1983,1,6.7,10.1,9.94796748
1983,2,1.7,10.1,9.94796748
1983,3,6.4,10.1,9.94796748
1983,4,6.8,10.1,9.94796748
1983,5,10.3,10.1,9.94796748
1983,6,14.4,10.1,9.94796748
1983,7,19.5,10.1,9.94796748
1983,8,17.3,10.1,9.94796748
1983,9,13.7,10.1,9.94796748
1983,10,10.5,10.1,9.94796748
1983,11,7.5,10.1,9.94796748
1983,12,5.6,10.1,9.94796748
1984,1,3.8,9.75,9.94796748
1984,2,3.3,9.75,9.94796748
1984,3,4.7,9.75,9.94796748
1984,4,8.1,9.75,9.94796748
1984,5,9.9,9.75,9.94796748
1984,6,14.5,9.75,9.94796748
1984,7,16.9,9.75,9.94796748
1984,8,17.6,9.75,9.94796748
1984,9,13.7,9.75,9.94796748
1984,10,11.1,9.75,9.94796748
1984,11,8,9.75,9.94796748
1984,12,5.2,9.75,9.94796748
1985,1,0.8,8.9,9.94796748
1985,2,2.1,8.9,9.94796748
1985,3,4.7,8.9,9.94796748
1985,4,8.3,8.9,9.94796748
1985,5,10.9,8.9,9.94796748
1985,6,12.7,8.9,9.94796748
1985,7,16.2,8.9,9.94796748
1985,8,14.6,8.9,9.94796748
1985,9,14.6,8.9,9.94796748
1985,10,11,8.9,9.94796748
1985,11,4.1,8.9,9.94796748
1985,12,6.3,8.9,9.94796748
1986,1,3.5,8.81,9.94796748
1986,2,-1.1,8.81,9.94796748
1986,3,4.9,8.81,9.94796748
1986,4,5.8,8.81,9.94796748
1986,5,11.1,8.81,9.94796748
1986,6,14.8,8.81,9.94796748
1986,7,15.9,8.81,9.94796748
1986,8,13.7,8.81,9.94796748
1986,9,11.3,8.81,9.94796748
1986,10,11,8.81,9.94796748
1986,11,7.8,8.81,9.94796748
1986,12,6.2,8.81,9.94796748
1987,1,0.8,9.08,9.94796748
1987,2,3.6,9.08,9.94796748
1987,3,4.1,9.08,9.94796748
1987,4,10.3,9.08,9.94796748
1987,5,10.1,9.08,9.94796748
1987,6,12.8,9.08,9.94796748
1987,7,15.9,9.08,9.94796748
1987,8,15.6,9.08,9.94796748
1987,9,13.6,9.08,9.94796748
1987,10,9.7,9.08,9.94796748
1987,11,6.5,9.08,9.94796748
1987,12,5.6,9.08,9.94796748
1988,1,5.3,9.8,9.94796748
1988,2,4.9,9.8,9.94796748
1988,3,6.4,9.8,9.94796748
1988,4,8.2,9.8,9.94796748
1988,5,11.9,9.8,9.94796748
1988,6,14.4,9.8,9.94796748
1988,7,14.7,9.8,9.94796748
1988,8,15.2,9.8,9.94796748
1988,9,13.2,9.8,9.94796748
1988,10,10.4,9.8,9.94796748
1988,11,5.2,9.8,9.94796748
1988,12,7.5,9.8,9.94796748
1989,1,6.1,10.54,9.94796748
1989,2,5.9,10.54,9.94796748
1989,3,7.5,10.54,9.94796748
1989,4,6.6,10.54,9.94796748
1989,5,13,10.54,9.94796748
1989,6,14.6,10.54,9.94796748
1989,7,18.2,10.54,9.94796748
1989,8,16.6,10.54,9.94796748
1989,9,14.7,10.54,9.94796748
1989,10,11.7,10.54,9.94796748
1989,11,6.2,10.54,9.94796748
1989,12,4.9,10.54,9.94796748
1990,1,6.5,10.65,9.94796748
1990,2,7.3,10.65,9.94796748
1990,3,8.3,10.65,9.94796748
1990,4,8,10.65,9.94796748
1990,5,12.6,10.65,9.94796748
1990,6,13.6,10.65,9.94796748
1990,7,16.9,10.65,9.94796748
1990,8,18,10.65,9.94796748
1990,9,13.2,10.65,9.94796748
1990,10,11.9,10.65,9.94796748
1990,11,6.9,10.65,9.94796748
1990,12,4.3,10.65,9.94796748
1991,1,3.3,9.58,9.94796748
1991,2,1.5,9.58,9.94796748
1991,3,7.9,9.58,9.94796748
1991,4,7.9,9.58,9.94796748
1991,5,10.8,9.58,9.94796748
1991,6,12.1,9.58,9.94796748
1991,7,17.3,9.58,9.94796748
1991,8,17.1,9.58,9.94796748
1991,9,14.7,9.58,9.94796748
1991,10,10.2,9.58,9.94796748
1991,11,6.8,9.58,9.94796748
1991,12,4.7,9.58,9.94796748
1992,1,3.7,9.87,9.94796748
1992,2,5.4,9.87,9.94796748
1992,3,7.5,9.87,9.94796748
1992,4,8.7,9.87,9.94796748
1992,5,13.6,9.87,9.94796748
1992,6,15.7,9.87,9.94796748
1992,7,16.2,9.87,9.94796748
1992,8,15.3,9.87,9.94796748
1992,9,13.4,9.87,9.94796748
1992,10,7.8,9.87,9.94796748
1992,11,7.4,9.87,9.94796748
1992,12,3.6,9.87,9.94796748
1993,1,5.9,9.52,9.94796748
1993,2,4.6,9.52,9.94796748
1993,3,6.7,9.52,9.94796748
1993,4,9.5,9.52,9.94796748
1993,5,11.4,9.52,9.94796748
1993,6,15,9.52,9.94796748
1993,7,15.2,9.52,9.94796748
1993,8,14.6,9.52,9.94796748
1993,9,12.4,9.52,9.94796748
1993,10,8.5,9.52,9.94796748
1993,11,4.6,9.52,9.94796748
1993,12,5.5,9.52,9.94796748
1994,1,5.3,10.29,9.94796748
1994,2,3.2,10.29,9.94796748
1994,3,7.7,10.29,9.94796748
1994,4,8.1,10.29,9.94796748
1994,5,10.7,10.29,9.94796748
1994,6,14.5,10.29,9.94796748
1994,7,18,10.29,9.94796748
1994,8,16,10.29,9.94796748
1994,9,12.7,10.29,9.94796748
1994,10,10.2,10.29,9.94796748
1994,11,10.1,10.29,9.94796748
1994,12,6.4,10.29,9.94796748
1995,1,4.8,10.55,9.94796748
1995,2,6.5,10.55,9.94796748
1995,3,5.6,10.55,9.94796748
1995,4,9.1,10.55,9.94796748
1995,5,11.6,10.55,9.94796748
1995,6,14.3,10.55,9.94796748
1995,7,18.6,10.55,9.94796748
1995,8,19.2,10.55,9.94796748
1995,9,13.7,10.55,9.94796748
1995,10,12.9,10.55,9.94796748
1995,11,7.7,10.55,9.94796748
1995,12,2.3,10.55,9.94796748
1996,1,4.3,9.22,9.94796748
1996,2,2.5,9.22,9.94796748
1996,3,4.5,9.22,9.94796748
1996,4,8.5,9.22,9.94796748
1996,5,9.1,9.22,9.94796748
1996,6,14.4,9.22,9.94796748
1996,7,16.5,9.22,9.94796748
1996,8,16.5,9.22,9.94796748
1996,9,13.6,9.22,9.94796748
1996,10,11.7,9.22,9.94796748
1996,11,5.9,9.22,9.94796748
1996,12,2.9,9.22,9.94796748
1997,1,2.5,10.56,9.94796748
1997,2,6.7,10.56,9.94796748
1997,3,8.4,10.56,9.94796748
1997,4,9,10.56,9.94796748
1997,5,11.5,10.56,9.94796748
1997,6,14.1,10.56,9.94796748
