"year","month","temperature"
"1976","jan",5.9
"1977","jan",2.8
"1978","jan",3.4
"1979","jan",-0.4
"1980","jan",2.3
"1981","jan",4.9
"1982","jan",2.6
"1983","jan",6.7
"1984","jan",3.8
"1985","jan",0.8
"1986","jan",3.5
"1987","jan",0.8
"1988","jan",5.3
"1989","jan",6.1
"1990","jan",6.5
"1991","jan",3.3
"1992","jan",3.7
"1993","jan",5.9
"1994","jan",5.3
"1995","jan",4.8
"1996","jan",4.3
"1997","jan",2.5
"1998","jan",5.2
"1999","jan",5.5
"2000","jan",4.9
"2001","jan",3.2
"2002","jan",5.5
"2003","jan",4.5
"2004","jan",5.2
"2005","jan",6
"2006","jan",4.3
"2007","jan",7
"2008","jan",6.6
"2009","jan",3
"2010","jan",1.4
"2011","jan",3.7
"2012","jan",5.4
"2013","jan",3.5
"2014","jan",5.7
"2015","jan",4.4
"2016","jan",5.4
"1976","feb",4.5
"1977","feb",5.2
"1978","feb",2.8
"1979","feb",1.2
"1980","feb",5.7
"1981","feb",3
"1982","feb",4.8
"1983","feb",1.7
"1984","feb",3.3
"1985","feb",2.1
"1986","feb",-1.1
"1987","feb",3.6
"1988","feb",4.9
"1989","feb",5.9
"1990","feb",7.3
"1991","feb",1.5
"1992","feb",5.4
"1993","feb",4.6
"1994","feb",3.2
"1995","feb",6.5
"1996","feb",2.5
"1997","feb",6.7
"1998","feb",7.3
"1999","feb",5.3
"2000","feb",6.3
"2001","feb",4.4
"2002","feb",7
"2003","feb",3.9
"2004","feb",5.4
"2005","feb",4.3
"2006","feb",3.7
"2007","feb",5.8
"2008","feb",5.4
"2009","feb",4.1
"2010","feb",2.8
"2011","feb",6.4
"2012","feb",3.8
"2013","feb",3.2
"2014","feb",6.2
"2015","feb",4
"2016","feb",4.9
"1976","mar",4.8
"1977","mar",6.9
"1978","mar",6.7
"1979","mar",4.7
"1980","mar",4.7
"1981","mar",7.9
"1982","mar",6.1
"1983","mar",6.4
"1984","mar",4.7
"1985","mar",4.7
"1986","mar",4.9
"1987","mar",4.1
"1988","mar",6.4
"1989","mar",7.5
"1990","mar",8.3
"1991","mar",7.9
"1992","mar",7.5
"1993","mar",6.7
"1994","mar",7.7
"1995","mar",5.6
"1996","mar",4.5
"1997","mar",8.4
"1998","mar",7.9
"1999","mar",7.4
"2000","mar",7.6
"2001","mar",5.2
"2002","mar",7.6
"2003","mar",7.5
"2004","mar",6.5
"2005","mar",7.2
"2006","mar",4.9
"2007","mar",7.2
"2008","mar",6.1
"2009","mar",7
"2010","mar",6.1
"2011","mar",6.7
"2012","mar",8.3
"2013","mar",2.7
"2014","mar",7.6
"2015","mar",6.4
"2016","mar",5.8
"1976","apr",8.1
"1977","apr",7.2
"1978","apr",6.5
"1979","apr",7.8
"1980","apr",8.8
"1981","apr",7.8
"1982","apr",8.6
"1983","apr",6.8
"1984","apr",8.1
"1985","apr",8.3
"1986","apr",5.8
"1987","apr",10.3
"1988","apr",8.2
"1989","apr",6.6
"1990","apr",8
"1991","apr",7.9
"1992","apr",8.7
"1993","apr",9.5
"1994","apr",8.1
"1995","apr",9.1
"1996","apr",8.5
"1997","apr",9
"1998","apr",7.7
"1999","apr",9.4
"2000","apr",7.8
"2001","apr",7.7
"2002","apr",9.3
"2003","apr",9.6
"2004","apr",9.4
"2005","apr",8.9
"2006","apr",8.6
"2007","apr",11.2
"2008","apr",7.9
"2009","apr",10
"2010","apr",8.8
"2011","apr",11.8
"2012","apr",7.2
"2013","apr",7.5
"2014","apr",10.2
"2015","apr",9
"2016","apr",7.5
"1976","may",12.1
"1977","may",10.6
"1978","may",11.7
"1979","may",10
"1980","may",11.2
"1981","may",11.2
"1982","may",11.6
"1983","may",10.3
"1984","may",9.9
"1985","may",10.9
"1986","may",11.1
"1987","may",10.1
"1988","may",11.9
"1989","may",13
"1990","may",12.6
"1991","may",10.8
"1992","may",13.6
"1993","may",11.4
"1994","may",10.7
"1995","may",11.6
"1996","may",9.1
"1997","may",11.5
"1998","may",13.1
"1999","may",12.9
"2000","may",12.1
"2001","may",12.6
"2002","may",11.8
"2003","may",12.1
"2004","may",12.1
"2005","may",11.4
"2006","may",12.3
"2007","may",11.9
"2008","may",13.4
"2009","may",12.1
"2010","may",10.7
"2011","may",12.2
"2012","may",11.7
"2013","may",10.4
"2014","may",12.2
"2015","may",10.8
"2016","may",12.5
"1976","jun",17
